"Total sales","Total sales"
"{count} total sales","{count} total sales"
"Daily sales","Daily sales"
"{count} daily sales","{count} daily sales"
"Weekly sales","Weekly sales"
"{count} weekly sales","{count} weekly sales"
"Total views","Total views"
"{count} total views","{count} total views"
"Daily views","Daily views"
"{count} daily views","{count} daily views"
"Weekly views","Weekly views"
"{count} weekly views","{count} weekly views"
