"Customer Segments","Segments Client"
"All customer segments","Tous les segments clients"
"Selected customer segments","Segments clients sélectionnés"
"Apply to","Appliquer à"
"Select the customer segments for which you want the optimizer to be applied.","Sélectionnez les segments clients pour lesquels vous souhaitez que l'optimiseur soit appliqué."
"Add Customer Segments","Ajouter des segments clients"
"Select Customer Segments","Sélectionner des Segments Clients"
"Add Selected Segments","Ajouter les segments sélectionnés"
