"Customer Segments","Customer Segments"
"All customer segments","All customer segments"
"Selected customer segments","Selected customer segments"
"Apply to","Apply to"
"Select the customer segments for which you want the optimizer to be applied.","Select the customer segments for which you want the optimizer to be applied."
"Add Customer Segments","Add Customer Segments"
"Select Customer Segments","Select Customer Segments"
"Add Selected Segments","Add Selected Segments"
