"Elasticsuite premium beacon: Exporting %1 beeps for %2","Sonde Elasticsuite premium: Export de %1 bips pour %2"
"Elasticsuite premium beacon: beeps export complete.","Sonde Elasticsuite premium: export des bips terminé."
"Failed to register elasticsuite premium beacon beep","Echec d'enregistrement du bip de la sonde elasticsuite premium"
"There was an error while saving beep.","Une erreur est survenue à la sauvegarde du bip."
"Elasticsuite Premium Beacon","Sonde Elasticsuite Premium"
"Global Configuration","Configuration Globale"
"Client ID","ID Client"
"The Client ID provided to you by our Elasticsuite Premium support team.","L'ID Client fournie par notre équipe Elasticsuite Premium."
