"Elasticsuite premium beacon: Exporting %1 beeps for %2","Elasticsuite premium beacon: Exporting %1 beeps for %2"
"Elasticsuite premium beacon: beeps export complete.","Elasticsuite premium beacon: beeps export complete."
"Failed to register elasticsuite premium beacon beep","Failed to register elasticsuite premium beacon beep"
"There was an error while saving beep.","There was an error while saving beep."
"Elasticsuite Premium Beacon","Elasticsuite Premium Beacon"
"Global Configuration","Global Configuration"
"Client ID","Client ID"
"The Client ID provided to you by our Elasticsuite Premium support team.","The Client ID provided to you by our Elasticsuite Premium support team."
