"Facets Recommendations","Facets Recommendations"
"When enabled, facets regularly used by a customer for a given category will be recommended to him. Elasticsuite tracking must also be enabled.","When enabled, facets regularly used by a customer for a given category will be recommended to him. Elasticsuite tracking must also be enabled."
"Max number of facets to recommend","Max number of facets to recommend"
