"Behavioral autocomplete","Autocomplétion comportementale"
"Trend based autocomplete","Autocomplétion basée sur les tendances"
"When enabled, autocomplete box will suggest trending search terms. If disabled, autocomplete box will suggest matching search terms with the most uses. Elasticsuite tracking must be enabled in both cases.","Si activé, la barre d'autocomplétion suggèrera les termes populaires du moment. Dans le cas contraire, la barre d'autocomplétion suggèrera les termes correspondant à la recherche de l'internaute les plus utilisés au sens large. Nécessite dans chaque cas l'activation du tracking Elasticsuite."
