"Behavioral autocomplete","Behavioral autocomplete"
"Trend based autocomplete","Trend based autocomplete"
"When enabled, autocomplete box will suggest trending search terms. Elasticsuite tracking must also be enabled.","When enabled, autocomplete box will suggest trending search terms. Elasticsuite tracking must also be enabled."
