"Views (total)","Views (total)"
"Daily views (average)","Daily views (average)"
"Daily views (number)","Daily views (number)"
"Weekly views (average)","Weekly views (average)"
"Weekly views (number)","Weekly views (number)"
"Sales (total)","Sales (total)"
"Daily sales (average)","Daily sales (average)"
"Daily sales (number)","Daily sales (number)"
"Weekly sales (average)","Weekly sales (average)"
"Weekly sales (number)","Weekly sales (number)"
